id,username,created_at,lng,lat,text
1517397915735511040,wavupnxt,Fri Apr 22 07:00:29 +0000 2022,-112.4249755,33.4128725,This new Tory lanez drop got me feelin like a peak Lightskin @torylanez
1517397917178417152,HuffsHoops,Fri Apr 22 07:00:30 +0000 2022,-88.7537095,41.927807,@FanDuel @MichaelVick @nflthrowback EA Sports Madden NFL 2004
1517397920869462019,Three_Ninjas,Fri Apr 22 07:00:30 +0000 2022,-90.030948,29.8731515,"""wherever you get your podcasts"" is a ubiquitous phrase yet it does not make me want to fill my ears with concrete.… https://t.co/zFmOw7gvMg"
1517397922429739010,MathiasSsemanda,Fri Apr 22 07:00:31 +0000 2022,-77.904653,40.8028355,@OcenIdusso It may not but will drastically reduce. It seems the new president of DRC is trying to make major refor… https://t.co/jTGVx11P4B
1517397924229042177,KeithKlub,Fri Apr 22 07:00:31 +0000 2022,-73.95,40.65,"Just posted a photo @ Brooklyn, New York https://t.co/KxiILva3Jk"
1517397927047536640,skiante_warrior,Fri Apr 22 07:00:32 +0000 2022,-105.205861,39.66538,thank you @Subtronics for an amazing first cyclops rocks 💚 https://t.co/e1OZWfI4yg
1517397929383841792,danwarren6,Fri Apr 22 07:00:32 +0000 2022,-79.2725695,43.629311,@KrisStellick Poor you
1517397930080043008,BondageboySF,Fri Apr 22 07:00:33 +0000 2022,-122.4359785,37.7706565,@napoleonga @Pigslave4S Fuck! One day I’ll be able to take that huge fucking toy as easily as you!
1517397933603315713,NicholasGuwop,Fri Apr 22 07:00:33 +0000 2022,-73.9685415,40.780709,"Bonita Applebum, I gotta put you on, ifI didn't when we cuttin', the feeling'll be too strong"
1517397934312099840,MsJessicaGamble,Fri Apr 22 07:00:34 +0000 2022,-117.874032,33.617638,@heathermpierce @KMsales15 He needs Bill jr to grind for him first 💅🏻
1517397936405377026,Austin_white13,Fri Apr 22 07:00:34 +0000 2022,-83.3997795,33.9563835,above 6’2 is tall bottom territory 🙅🏻‍♂️
1517397937780715520,vudaism,Fri Apr 22 07:00:34 +0000 2022,-119.165389,34.181956,@percules_ autumn &gt; michael jackson
1517397938707832832,getmangledson,Fri Apr 22 07:00:35 +0000 2022,-95.538134,30.337514,!!!!!!!!!! I UPDATED MY PHONE !!!!!!!!!!🫥🫡🫠🫣🤥😵‍💫😵🫶🏻🫦🖖🏻👰🏻‍♀️👰🏻‍♂️🫃🏻🙎🏻‍♀️👨🏻‍🦼👩🏻‍❤️‍💋‍👩🏻👩‍👩‍👧‍👦🪢👨‍👧🥻🐺🪳🦟🐞🐊🦧🐲🪺🪷🌺🌒🫧🫑🫕🫗🥏🎿… https://t.co/XeW6i5tY4T
1517397942650425344,wbkjenniek,Fri Apr 22 07:00:36 +0000 2022,-118.662606,34.13726,About to eat a poke bowl https://t.co/0VbUWA889x
1517397943501811713,VivanMarwaha,Fri Apr 22 07:00:36 +0000 2022,-122.3306025,47.614817,@BDUTT I’ve been hearing great things about it! Signed copy when I’m back please :)
1517397943325708289,pethusbando,Fri Apr 22 07:00:36 +0000 2022,-76.66426899999999,39.20952,Redid this and uhhhh https://t.co/WWUBQIg6Rj
1517397945011871745,Ish1da,Fri Apr 22 07:00:36 +0000 2022,-94.3783325,39.0880045,@scottskmiller Make sure tha sushi is F R E S H https://t.co/u9wCdFTk5o
1517397948283318272,sireenaloves,Fri Apr 22 07:00:37 +0000 2022,-121.3007305,38.7631605,"Ima call you big red, cus you always mad lol turn that big frown upside Down"
1517397949633900544,benhamdos,Fri Apr 22 07:00:37 +0000 2022,-108.562922,45.7974455,there’s a lot of untapped potential here
1517397949529079809,sh4ine_binladen,Fri Apr 22 07:00:37 +0000 2022,-90.011008,29.982601,That one time when I get shot in my leg https://t.co/6yFFQAgCe7
1517397951043149833,ufoteacher,Fri Apr 22 07:00:38 +0000 2022,-106.662024,35.296183,Visit https://t.co/2rGkG7okel #ufoteacher #medium #writer #writerslife #articles #stories #advice #lifelessons https://t.co/vkSxnLOedj
1517397957045223424,JadonRosendo,Fri Apr 22 07:00:39 +0000 2022,-115.135165,36.0609645,Merch coming TOMORROW!!! Get you some also we have hats now toooo https://t.co/zBWuT0ohZk
1517397957330423808,MarketSourceJob,Fri Apr 22 07:00:39 +0000 2022,-93.4687489,44.9211836,"Are you looking to work somewhere with a culture of performance, customer satisfaction, innovation and continuous i… https://t.co/6BMqQQOXI2"
1517397961436798976,rinardgade2k18,Fri Apr 22 07:00:40 +0000 2022,-94.227371,42.720886500000006,Don’t forget tomorrow’s earth day
1517397963995189248,indnstar,Fri Apr 22 07:00:41 +0000 2022,-118.3598605,33.758770999999996,Talk about absolutely stunning!
1517397966180569089,JohnGar79052614,Fri Apr 22 07:00:41 +0000 2022,-87.1023995,37.765135,"Lmao To join the meeting on Google Meet, click this link: https://t.co/h4wlFE2pF9  Or open Meet and enter this c… https://t.co/MpL8umCwMc"
1517397967249969152,LupeLLerenas,Fri Apr 22 07:00:41 +0000 2022,-118.4119065,34.0207895,I’m a lyrics*
1517397968889925632,MadisonLng18,Fri Apr 22 07:00:42 +0000 2022,-117.32087899999999,33.226316,@MuellerSheWrote @MalloryMcMorrow @DNC @dccc We need voices like her’s every day. I personally think Democrats in D… https://t.co/qv4G91U6Ca
1517397976284606465,sweetgrassofhtx,Fri Apr 22 07:00:44 +0000 2022,-95.44648649999999,29.838495,"We will be accepting orders soon, we will also be posting a lot of our sweets and treats available and just an FYI,… https://t.co/AZYARrB1aa"
1517397979363041280,valesvergaval,Fri Apr 22 07:00:44 +0000 2022,-117.3630675,34.531222,Ok I need to stop being sad
1517397981728854032,retuta,Fri Apr 22 07:00:45 +0000 2022,-73.964127,40.679268,#365 2022.04.21: Buying a New Plant to Reduce Anxiety and Existential Dread. https://t.co/VfEM7lqbA9
1517397981858783233,ChaseChowder,Fri Apr 22 07:00:45 +0000 2022,-90.011008,29.982601,"The Junkyard Jam Tour starts tomorrow.New Orleans, you’re up🚜 https://t.co/Lqwvhrrz16"
1517397983742111744,MikeSchmidt_eth,Fri Apr 22 07:00:45 +0000 2022,-73.723025,45.557830499999994,@OberaiJassi Jassi you are the whole ocean
1517397984455147520,Shady7769,Fri Apr 22 07:00:46 +0000 2022,-75.392615,39.8730715,@TommyKelly44 @JoeGiglioSports @SportsRadioWIP @PaulHudrick @BobWankelCB @howardeskin This guy Yohnson at 2 is craz… https://t.co/Wo5PhWIjFE
1517397986120282113,MsJaydeWillow,Fri Apr 22 07:00:46 +0000 2022,-77.101999,38.8808445,"What “crisis” are you talking about, dipshit?"
1517397986824777735,hmuifheadfire,Fri Apr 22 07:00:46 +0000 2022,-117.0226945,38.502147,familiar with the gas no brakes
1517397988863184896,stallionstackz,Fri Apr 22 07:00:47 +0000 2022,-118.4119065,34.0207895,"And this nigga is fine as shit! 6’4, muscular, and tatted! I be staring all in this man face 😂"
1517397989706268672,LocomotiveEmot1,Fri Apr 22 07:00:47 +0000 2022,-118.76711449999999,34.1908125,@imcfcurves Oh how I wish you would be my muse beautiful Kay!😘🥰😊
1517397992034258945,ColonelDano,Fri Apr 22 07:00:47 +0000 2022,-117.18242162,34.0567924,Good to be playing again. @ The Royal Falconer Pub https://t.co/fYYM7VAh4d
1517397994647089153,lizlovessyhuu,Fri Apr 22 07:00:48 +0000 2022,-122.08577550000001,37.641270500000005,This ‼️
1517397998107611137,freeboydebo,Fri Apr 22 07:00:49 +0000 2022,-73.8494415,40.8503475,@_ParadiseParis1 African women are the best beautiful women on earth 👸🏾big facts get that African love it a beautiful thing ✊🏾👸🏾
